Title,Link,pubDate,Description,Source,Tag
"IIT Madras, Harvard University researchers develop algorithm to save wildlife from poaching - ThePrint",https://theprint.in/india/iit-madras-harvard-university-researchers-develop-algorithm-to-save-wildlife-from-poaching/970606/,5/25/2022,"IIT Madras, Harvard University researchers develop algorithm to save wildlife from poaching&nbsp;&nbsp;ThePrint",ThePrint,AI-GameTheory
Indian Researchers Develop Robot to Clean Septic Tanks - OpenGov Asia,https://opengovasia.com/indian-researchers-develop-robot-to-clean-septic-tanks/,6/12/2022,Indian Researchers Develop Robot to Clean Septic Tanks&nbsp;&nbsp;OpenGov Asia,OpenGov Asia,AI-GameTheory
